train_number,train_name,from_station_code,departure,to_station_code,arrival,distance,duration_hours,duration_minutes,sleeper,chair_car,first_class,first_ac,second_ac,third_ac,return_train,train_type,total_seats
56241,Salem_yesvantpur_passenger,SA,5:20:00,YPR,10:45:00,225,5,25,0,0,0,0,0,0,56242,PASS,480
56242,Yesvantpur_salem_passenger,YPR,16:05:00,SA,21:25:00,225,5,20,0,0,0,0,0,0,56241,PASS,350
56261,Arakkonam_bangalore_passenger,AJJ,8:00:00,SBC,18:45:00,290,10,45,0,0,0,0,0,0,56262,PASS,489
56262,Bangalore_arakkonam_passenger,SBC,9:20:00,AJJ,20:50:00,290,11,30,0,0,0,0,0,0,56261,PASS,491
56263,Night_queen_passenger,MYS,23:55:00,SBC,4:00:00,139,4,5,1,0,0,0,0,0,56264,PASS,311
56264,Night_queen_passenger,SBC,23:55:00,MYS,4:00:00,139,4,5,1,0,0,0,0,0,56263,PASS,375
56265,Arsikere_mysore_passenger,ASK,17:45:00,MYS,22:00:00,167,4,15,0,0,0,0,0,0,56266,PASS,322
56266,Mysore_arsikere_passenger,MYS,7:30:00,ASK,11:35:00,167,4,5,0,0,0,0,0,0,56265,PASS,318
56267,Arsikere_mysore_passenger,ASK,5:15:00,MYS,9:25:00,167,4,10,0,0,0,0,0,0,56266,PASS,331
56268,Mysore_arsikere_passenger,MYS,18:20:00,ASK,22:35:00,167,4,15,0,0,0,0,0,0,56267,PASS,335
56269,Shimoga_mysore_passenger,SMET,10:30:00,MYS,16:55:00,276,6,25,0,0,0,0,0,0,56270,PASS,393
56270,Mysore_shimoga_passenger,MYS,10:05:00,SMET,16:30:00,276,6,25,0,0,0,0,0,0,56269,PASS,429
56271,Shimoga_birur_passenger,SMET,18:00:00,RRB,19:45:00,63,1,45,0,0,0,0,0,0,56272,PASS,494
56272,Birur_shimoga_town_passenger,RRB,8:00:00,SMET,9:45:00,63,1,45,0,0,0,0,0,0,56271,PASS,471
56273,Arsikere_hubli_passenger,ASK,5:15:00,UBL,12:30:00,304,7,15,0,0,0,0,0,0,56274,PASS,374
56274,Hubli_arsikere_passenger,UBL,15:05:00,ASK,22:25:00,304,7,20,0,0,0,0,0,0,56273,PASS,432
56300,Kollam_alappuzha_passenger,QLN,3:35:00,ALLP,5:45:00,85,2,10,0,0,0,0,0,0,56301,PASS,318
56301,Alappuzha_kollam_passenger,ALLP,17:25:00,QLN,19:35:00,85,2,10,0,0,0,0,0,0,56300,PASS,404
56302,Alappuzha_ernakulam_passenger,ALLP,7:25:00,ERS,9:05:00,57,1,40,0,0,0,0,0,0,56303,PASS,466
56303,Ernakulam_alappuzha_passenger,ERS,15:40:00,ALLP,17:20:00,57,1,40,0,0,0,0,0,0,56302,PASS,463
56304,Nagercoil_kottayam_passenger,NCJ,12:20:00,KTYM,19:50:00,231,7,30,0,0,0,0,0,0,,PASS,495
56305,Kottayam_kollam_passenger,KTYM,5:40:00,QLN,8:10:00,96,2,30,0,0,0,0,0,0,,PASS,386
56307,Kollam_tiruvananthapuram_passenger,QLN,6:40:00,TVC,8:40:00,64,2,0,0,0,0,0,0,0,56308,PASS,440
56308,Tiruvananthapuram_kollam_passenger,TVC,17:50:00,QLN,19:45:00,64,1,55,0,0,0,0,0,0,56307,PASS,355
56309,Kollam_tiruvananthapuram_passenger,QLN,15:35:00,TVC,17:40:00,64,2,5,0,0,0,0,0,0,56308,PASS,350
56310,Nagercoil_tiruvananthapuram_passenger,NCJ,6:45:00,TVC,8:50:00,71,2,5,0,0,0,0,0,0,56311,PASS,377
56311,Tiruvananthapuram_nagercoil_passenger,TVC,7:00:00,NCJ,9:05:00,71,2,5,0,0,0,0,0,0,56310,PASS,464
56312,Tirunelveli_nagercoil_passenger,TEN,8:00:00,NCJ,9:50:00,74,1,50,0,0,0,0,0,0,,PASS,486
56313,Tiruvananthapuram_nagercoil_passenger,TVC,18:00:00,NCJ,20:05:00,71,2,5,0,0,0,0,0,0,,PASS,415
56315,Tiruvananthapuram_nagercoil_passenger,TVC,17:15:00,NCJ,19:20:00,71,2,5,0,0,0,0,0,0,56316,PASS,325
56316,Nagercoil_tiruvananthapuram_passenger,NCJ,18:20:00,TVC,20:15:00,71,1,55,0,0,0,0,0,0,56315,PASS,463
